Roll: 0901CS29,,,,
Semester Wise Details,,,,
Subject,Credits,Type,Grade,Sem
CH101,8,CORE,CC,1
CH110,3,CORE,AB,1
EE101,8,CORE,BC,1
HS101,6,CORE,AB,1
MA101,8,CORE,BB,1
ME110,3,CORE,AB,1
ME111,7,CORE,AB,1
PH101,6,CORE,BB,1
CH102,6,CORE,BB,2
CS101,6,CORE,BB,2
CS110,3,CORE,BB,2
EE102,4,CORE,BB,2
MA102,8,CORE,CC,2
ME101,8,CORE,CC,2
PH102,6,CORE,BC,2
PH110,3,CORE,BC,2
CS201,9,CORE,BC,3
CS203,6,CORE,AB,3
CS221,6,CORE,BB,3
EE220,8,CORE,BB,3
HS201,6,HS ELECTIVE,BB,3
MA201,8,CORE,CC,3
CS204,6,CORE,AB,4
CS222,6,CORE,CC,4
CS223,3,CORE,BC,4
CS241,7,CORE,AB,4
CS242,5,CORE,BC,4
HS202,6,HS Elective,CC,4
MA225,8,CORE,BC,4
MA251,6,Elective-Sc.,CD,4
CS301,6,CORE,BC,5
CS331,8,CORE,BB,5
CS341,6,CORE,BB,5
CS342,5,CORE,BB,5
CS343,6,CORE,CC,5
CS344,6,CORE,BC,5
CS345,5,CORE,BC,5
CS302,6,CORE,BC,6
CS346,6,CORE,BC,6
CS347,3,CORE,AB,6
CS348,8,CORE,CC,6
CS362,8,CORE,BC,6
CS399,3,CORE,BB,6
HS311,6,HSS Elective,CC,6
CS400,2,CORE,BB,7
CS421,6,CORE,BC,7
CS422,5,CORE,BC,7
CS423,6,Departmental Elective - II,BC,7
CS461,6,Departmental Elective - I,AB,7
CS498,10,CORE,AB,7
MA410,6,Open Elective - I,BC,7
CE442,6,Open Elective - II,CC,8
CS453,6,Departmental Elective - IV,BB,8
CS499,16,CORE,AB,8
CS502,6,Departmental Elective - III,BB,8
HS441,6,HS Elective,CC,8
